Sido,Sigun,id,moon,hong,ahn,yoo,shim,etc,1st,1st_C,2nd,2nd_C,gap,final
광주,동구,29110,0.561,0.02,0.355,0.021,0.04,0.004,0.561,Moon,0.355,Ahn,0.206,0.561
광주,서구,29140,0.608,0.016,0.304,0.023,0.045,0.004,0.608,Moon,0.304,Ahn,0.303,0.608
광주,남구,29155,0.588,0.017,0.327,0.021,0.041,0.005,0.588,Moon,0.327,Ahn,0.261,0.588
광주,북구,29170,0.611,0.015,0.304,0.022,0.045,0.004,0.611,Moon,0.304,Ahn,0.307,0.611
광주,광산구,29200,0.643,0.015,0.264,0.022,0.051,0.005,0.643,Moon,0.264,Ahn,0.379,0.643
대전,동구,30110,0.402,0.231,0.243,0.054,0.065,0.005,0.402,Moon,0.243,Ahn,0.16,0.402
대전,중구,30140,0.396,0.24,0.239,0.057,0.062,0.005,0.396,Moon,0.24,Hong,0.156,0.396
대전,서구,30170,0.436,0.194,0.231,0.066,0.07,0.004,0.436,Moon,0.231,Ahn,0.205,0.436
대전,유성구,30200,0.475,0.163,0.217,0.074,0.068,0.003,0.475,Moon,0.217,Ahn,0.259,0.475
대전,대덕구,30230,0.405,0.217,0.243,0.059,0.071,0.005,0.405,Moon,0.243,Ahn,0.162,0.405
울산,중구,31110,0.363,0.305,0.169,0.079,0.079,0.005,0.363,Moon,0.305,Hong,0.058,0.363
울산,남구,31140,0.369,0.29,0.179,0.085,0.074,0.005,0.369,Moon,0.29,Hong,0.079,0.369
울산,동구,31170,0.414,0.219,0.178,0.077,0.107,0.006,0.414,Moon,0.219,Hong,0.196,0.414
울산,북구,31200,0.425,0.217,0.164,0.082,0.106,0.006,0.425,Moon,0.217,Hong,0.208,0.425
울산,울주군,31710,0.358,0.312,0.174,0.081,0.069,0.006,0.358,Moon,0.312,Hong,0.045,0.358
세종,세종특별자치시,36110,0.511,0.152,0.21,0.06,0.061,0.005,0.511,Moon,0.21,Ahn,0.301,0.511
경기,수원시장안구,41111,0.428,0.195,0.228,0.072,0.072,0.005,0.428,Moon,0.228,Ahn,0.2,0.428
